index,character
0,㐀
1,㐁
2,㐂
3,㐃
4,㐄
5,㐅
6,㐆
7,㐇
8,㐈
9,㐉
10,㐊
11,㐋
12,㐌
13,㐍
14,㐎
15,㐏
16,㐐
17,㐑
18,㐒
19,㐓
20,㐔
21,㐕
22,㐖
23,㐗
24,㐘
25,㐙
26,㐚
27,㐛
28,㐜
29,㐝
30,㐞
31,㐟
32,㐠
33,㐡
34,㐢
35,㐣
36,㐤
37,㐥
38,㐦
39,㐧
40,㐨
41,㐩
42,㐪
43,㐫
44,㐬
45,㐭
46,㐮
47,㐯
48,㐰
49,㐱
50,㐲
51,㐳
52,㐴
53,㐵
54,㐶
55,㐷
56,㐸
57,㐹
58,㐺
59,㐻
60,㐼
61,㐽
62,㐾
63,㐿
64,㑀
65,㑁
66,㑂
67,㑃
68,㑄
69,㑅
70,㑆
71,㑇
72,㑈
73,㑉
74,㑊
75,㑋
76,㑌
77,㑍
78,㑎
79,㑏
80,㑐
81,㑑
82,㑒
83,㑓
84,㑔
85,㑕
86,㑖
87,㑗
88,㑘
89,㑙
90,㑚
91,㑛
92,㑜
93,㑝
94,㑞
95,㑟
96,㑠
97,㑡
98,㑢
99,㑣
100,㑤
101,㑥
102,㑦
103,㑧
104,㑨
105,㑩
106,㑪
107,㑫
108,㑬
109,㑭
110,㑮
111,㑯
112,㑰
113,㑱
114,㑲
115,㑳
116,㑴
117,㑵
118,㑶
119,㑷
120,㑸
121,㑹
122,㑺
123,㑻
124,㑼
125,㑽
126,㑾
127,㑿
128,㒀
129,㒁
130,㒂
131,㒃
132,㒄
133,㒅
134,㒆
135,㒇
136,㒈
137,㒉
138,㒊
139,㒋
140,㒌
141,㒍
142,㒎
143,㒏
144,㒐
145,㒑
146,㒒
147,㒓
148,㒔
149,㒕
150,㒖
151,㒗
152,㒘
153,㒙
154,㒚
155,㒛
156,㒜
157,㒝
158,㒞
159,㒟
160,㒠
161,㒡
162,㒢
163,㒣
164,㒤
165,㒥
166,㒦
167,㒧
168,㒨
169,㒩
170,㒪
171,㒫
172,㒬
173,㒭
174,㒮
175,㒯
176,㒰
177,㒱
178,㒲
179,㒳
180,㒴
181,㒵
182,㒶
183,㒷
184,㒸
185,㒹
186,㒺
187,㒻
188,㒼
189,㒽
190,㒾
191,㒿
192,㓀
193,㓁
194,㓂
195,㓃
196,㓄
197,㓅
198,㓆
199,㓇
200,㓈
201,㓉
202,㓊
203,㓋
204,㓌
205,㓍
206,㓎
207,㓏
208,㓐
209,㓑
210,㓒
211,㓓
212,㓔
213,㓕
214,㓖
215,㓗
216,㓘
217,㓙
218,㓚
219,㓛
220,㓜
221,㓝
222,㓞
223,㓟
224,㓠
225,㓡
226,㓢
227,㓣
228,㓤
229,㓥
230,㓦
231,㓧
232,㓨
233,㓩
234,㓪
235,㓫
236,㓬
237,㓭
238,㓮
239,㓯
240,㓰
241,㓱
242,㓲
243,㓳
244,㓴
245,㓵
246,㓶
247,㓷
248,㓸
249,㓹
250,㓺
251,㓻
252,㓼
253,㓽
254,㓾
255,㓿
256,㔀
257,㔁
258,㔂
259,㔃
260,㔄
261,㔅
262,㔆
263,㔇
264,㔈
265,㔉
266,㔊
267,㔋
268,㔌
269,㔍
270,㔎
271,㔏
272,㔐
273,㔑
274,㔒
275,㔓
276,㔔
277,㔕
278,㔖
279,㔗
280,㔘
281,㔙
282,㔚
283,㔛
284,㔜
285,㔝
286,㔞
287,㔟
288,㔠
289,㔡
290,㔢
291,㔣
292,㔤
293,㔥
294,㔦
295,㔧
296,㔨
297,㔩
298,㔪
299,㔫
300,㔬
301,㔭
302,㔮
303,㔯
304,㔰
305,㔱
306,㔲
307,㔳
308,㔴
309,㔵
310,㔶
311,㔷
312,㔸
313,㔹
314,㔺
315,㔻
316,㔼
317,㔽
318,㔾
319,㔿
320,㕀
321,㕁
322,㕂
323,㕃
324,㕄
325,㕅
326,㕆
327,㕇
328,㕈
329,㕉
330,㕊
331,㕋
332,㕌
333,㕍
334,㕎
335,㕏
336,㕐
337,㕑
338,㕒
339,㕓
340,㕔
341,㕕
342,㕖
343,㕗
344,㕘
345,㕙
346,㕚
347,㕛
348,㕜
349,㕝
350,㕞
351,㕟
352,㕠
353,㕡
354,㕢
355,㕣
356,㕤
357,㕥
358,㕦
359,㕧
360,㕨
361,㕩
362,㕪
363,㕫
364,㕬
365,㕭
366,㕮
367,㕯
368,㕰
369,㕱
370,㕲
371,㕳
372,㕴
373,㕵
374,㕶
375,㕷
376,㕸
377,㕹
378,㕺
379,㕻
380,㕼
381,㕽
382,㕾
383,㕿
384,㖀
385,㖁
386,㖂
387,㖃
388,㖄
389,㖅
390,㖆
391,㖇
392,㖈
393,㖉
394,㖊
395,㖋
396,㖌
397,㖍
398,㖎
399,㖏
400,㖐
401,㖑
402,㖒
403,㖓
404,㖔
405,㖕
406,㖖
407,㖗
408,㖘
409,㖙
410,㖚
411,㖛
412,㖜
413,㖝
414,㖞
415,㖟
416,㖠
417,㖡
418,㖢
419,㖣
420,㖤
421,㖥
422,㖦
423,㖧
424,㖨
425,㖩
426,㖪
427,㖫
428,㖬
429,㖭
430,㖮
431,㖯
432,㖰
433,㖱
434,㖲
435,㖳
436,㖴
437,㖵
438,㖶
439,㖷
440,㖸
441,㖹
442,㖺
443,㖻
444,㖼
445,㖽
446,㖾
447,㖿
448,㗀
449,㗁
450,㗂
451,㗃
452,㗄
453,㗅
454,㗆
455,㗇
456,㗈
457,㗉
458,㗊
459,㗋
460,㗌
461,㗍
462,㗎
463,㗏
464,㗐
465,㗑
466,㗒
467,㗓
468,㗔
469,㗕
470,㗖
471,㗗
472,㗘
473,㗙
474,㗚
475,㗛
476,㗜
477,㗝
478,㗞
479,㗟
480,㗠
481,㗡
482,㗢
483,㗣
484,㗤
485,㗥
486,㗦
487,㗧
488,㗨
489,㗩
490,㗪
491,㗫
492,㗬
493,㗭
494,㗮
495,㗯
496,㗰
497,㗱
498,㗲
499,㗳
500,㗴
501,㗵
502,㗶
503,㗷
504,㗸
505,㗹
506,㗺
507,㗻
508,㗼
509,㗽
510,㗾
