index,count
0,134
1,136
2,151
3,134
4,109
5,149
6,146
7,134
8,134
9,134
10,134
11,134
12,108
13,133
14,134
15,134
16,134
17,133
18,134
19,134
20,134
21,134
22,134
23,133
24,134
25,133
26,133
27,133
28,108
29,133
30,133
31,133
32,133
33,133
34,133
35,133
36,133
37,133
38,133
39,149
40,133
41,134
42,133
43,135
44,146
45,133
46,119
47,133
48,134
49,134
50,135
51,133
52,136
53,162
54,136
55,134
56,133
57,135
58,133
59,110
60,133
61,133
62,135
63,133
64,148
65,136
66,134
67,135
68,133
69,109
70,135
71,152
72,133
73,133
74,138
75,133
76,139
77,108
78,134
79,134
80,108
81,136
82,133
83,133
84,133
85,134
86,134
87,108
88,133
89,108
90,133
91,133
92,133
93,134
94,109
95,133
96,133
97,133
98,133
99,133
100,162
101,134
102,108
103,109
104,144
105,133
106,144
107,133
108,133
109,133
110,133
111,134
112,108
113,108
114,133
115,156
116,108
117,108
118,108
119,108
120,133
121,134
122,152
123,133
124,133
125,139
126,139
127,133
128,133
129,133
130,108
131,133
132,108
133,108
134,133
135,108
136,123
137,108
138,108
139,133
140,108
141,133
142,108
143,133
144,133
145,133
146,119
147,168
148,133
149,133
150,139
151,133
152,133
153,133
154,108
155,108
156,108
157,108
158,133
159,108
160,133
161,108
162,133
163,133
164,109
165,139
166,133
167,134
168,108
169,108
170,108
171,133
172,133
173,133
174,133
175,139
176,109
177,133
178,109
179,109
180,108
181,120
182,109
183,134
184,109
185,108
186,133
187,133
188,151
189,133
190,108
191,133
192,133
193,149
194,133
195,108
196,133
197,134
198,133
199,144
200,140
201,134
202,134
203,133
204,108
205,133
206,108
207,108
208,108
209,133
210,133
211,133
212,108
213,133
214,108
215,108
216,108
217,133
218,134
219,151
220,133
221,134
222,108
223,273
224,134
225,108
226,108
227,133
228,154
229,133
230,135
231,108
232,133
233,108
234,133
235,133
236,133
237,108
238,108
239,134
240,133
241,108
242,108
243,133
244,134
245,133
246,108
247,108
248,108
249,108
250,108
251,139
252,108
253,108
254,135
255,133
256,133
257,133
258,110
259,108
260,109
261,133
262,153
263,134
264,133
265,133
266,136
267,108
268,108
269,133
270,133
271,133
272,133
273,108
274,108
275,134
276,134
277,108
278,134
279,133
280,134
281,133
282,134
283,133
284,134
285,108
286,108
287,151
288,108
289,108
290,108
291,133
292,133
293,108
294,108
295,108
296,108
297,133
298,133
299,133
300,108
301,108
302,108
303,108
304,108
305,133
306,133
307,108
308,133
309,108
310,108
311,108
312,108
313,134
314,108
315,108
316,134
317,134
318,155
319,109
320,134
321,133
322,108
323,133
324,133
325,134
326,134
327,134
328,108
329,133
330,133
331,133
332,133
333,133
334,133
335,133
336,108
337,139
338,133
339,168
340,133
341,134
342,108
343,133
344,133
345,139
346,109
347,109
348,134
349,144
350,144
351,133
352,133
353,139
354,133
355,120
356,135
357,135
358,109
359,134
360,134
361,111
362,133
363,136
364,110
365,139
366,144
367,109
368,139
369,110
370,140
371,133
372,136
373,136
374,136
375,141
376,162
377,108
378,134
379,108
380,133
381,135
382,133
383,134
384,134
385,133
386,133
387,133
388,139
389,135
390,133
391,136
392,133
393,133
394,134
395,133
396,134
397,134
398,134
399,134
400,134
401,133
402,133
403,133
404,108
405,134
406,134
407,139
408,139
409,133
410,133
411,133
412,133
413,133
414,149
415,133
416,110
417,139
418,108
419,134
420,110
421,139
422,144
423,109
424,119
425,108
426,133
427,108
428,133
429,139
430,133
431,133
432,133
433,133
434,133
435,133
436,134
437,133
438,109
439,133
440,110
441,110
442,135
443,108
444,108
445,133
446,133
447,139
448,133
449,140
450,133
451,108
452,133
453,151
454,133
455,139
456,133
457,108
458,140
459,108
460,133
461,108
462,285
463,135
464,134
465,133
466,244
467,108
468,108
469,133
470,245
471,108
472,108
473,134
474,119
475,139
476,134
477,168
478,140
479,133
480,133
481,133
482,133
483,108
484,108
485,133
486,108
487,108
488,108
489,108
490,108
491,108
492,133
493,111
494,133
495,133
496,133
497,140
498,139
499,273
500,145
501,108
502,134
503,133
504,133
505,133
506,133
507,139
508,110
509,133
510,273
511,133
512,108
513,133
514,133
515,133
516,133
517,144
518,135
519,108
520,110
521,139
522,108
523,133
524,108
525,135
526,155
527,133
528,133
529,108
530,133
531,133
532,140
533,108
534,108
535,133
536,139
537,108
538,155
539,108
540,133
541,163
542,134
543,134
544,133
545,134
546,133
547,139
548,108
549,138
550,134
551,133
552,108
553,109
554,133
555,134
556,134
557,273
558,134
559,134
560,134
561,109
562,133
563,108
564,134
565,140
566,108
567,109
568,108
569,139
570,133
571,133
572,133
573,133
574,140
575,134
576,108
577,133
578,108
579,133
580,109
581,108
582,133
583,139
584,161
585,139
586,119
587,133
588,133
589,134
590,139
591,108
592,134
593,133
594,133
595,134
596,133
597,108
598,133
599,133
600,133
601,108
602,133
603,108
604,133
605,108
606,108
607,139
608,108
609,138
610,108
611,108
612,108
613,108
614,133
615,133
616,108
617,133
618,133
619,108
620,133
621,133
622,133
623,108
624,108
625,108
626,133
627,110
628,108
629,133
630,133
631,133
632,108
633,108
634,139
635,108
636,134
637,133
638,133
639,133
640,108
641,139
642,108
643,133
644,133
645,133
646,134
647,110
648,134
649,108
650,133
651,108
652,133
653,133
654,134
655,134
656,109
657,145
658,109
659,108
660,133
661,133
662,120
663,133
664,134
665,145
666,139
667,133
668,133
669,133
670,133
671,108
672,133
673,133
674,133
675,134
